Year,Yield,Capex,Opex,Project_Lifetime,Price_File
2025,0,500000,100000,21,carbon_credits
2026,0,300000,100000,21,carbon_credits
2027,0,100000,100000,21,carbon_credits
2028,0,0,100000,21,carbon_credits
2029,250000,0,100000,21,carbon_credits
2030,250000,0,100000,21,carbon_credits
2031,250000,0,100000,21,carbon_credits
2032,250000,0,100000,21,carbon_credits
2033,250000,0,100000,21,carbon_credits
2034,250000,0,100000,21,carbon_credits
2035,250000,0,100000,21,carbon_credits
2036,250000,0,100000,21,carbon_credits
2037,250000,0,100000,21,carbon_credits
2038,250000,0,100000,21,carbon_credits
2039,250000,0,100000,21,carbon_credits
2040,250000,0,100000,21,carbon_credits
2041,250000,0,100000,21,carbon_credits
2042,250000,0,100000,21,carbon_credits
2043,250000,0,100000,21,carbon_credits
2044,250000,0,100000,21,carbon_credits
2045,250000,0,100000,21,carbon_credits
