Year,Yield,Capex,Opex,Project_Lifetime,Price_File
2025,0,400000,80000,18,carbon_credits
2026,0,250000,80000,18,carbon_credits
2027,0,100000,80000,18,carbon_credits
2028,191000,0,80000,18,carbon_credits
2029,191000,0,80000,18,carbon_credits
2030,191000,0,80000,18,carbon_credits
2031,191000,0,80000,18,carbon_credits
2032,191000,0,80000,18,carbon_credits
2033,191000,0,80000,18,carbon_credits
2034,191000,0,80000,18,carbon_credits
2035,191000,0,80000,18,carbon_credits
2036,191000,0,80000,18,carbon_credits
2037,191000,0,80000,18,carbon_credits
2038,191000,0,80000,18,carbon_credits
2039,191000,0,80000,18,carbon_credits
2040,191000,0,80000,18,carbon_credits
2041,191000,0,80000,18,carbon_credits
2042,191000,0,80000,18,carbon_credits
