Year,Yield,Capex,Opex,Project_Lifetime,Base_Price,Price_Growth_Rate,Price_Vol
2025,0,350000,90000,16,20.0,0.03,0.20
2026,0,250000,90000,16,20.0,0.03,0.20
2027,0,100000,90000,16,20.0,0.03,0.20
2028,5000,0,90000,16,20.0,0.03,0.20
2029,12500,0,90000,16,20.0,0.03,0.20
2030,20000,0,90000,16,20.0,0.03,0.20
2031,20000,0,90000,16,20.0,0.03,0.20
2032,20000,0,90000,16,20.0,0.03,0.20
2033,20000,0,90000,16,20.0,0.03,0.20
2034,20000,0,90000,16,20.0,0.03,0.20
2035,20000,0,90000,16,20.0,0.03,0.20
2036,20000,0,90000,16,20.0,0.03,0.20
2037,20000,0,90000,16,20.0,0.03,0.20
2038,20000,0,90000,16,20.0,0.03,0.20
2039,20000,0,90000,16,20.0,0.03,0.20
2040,20000,0,90000,16,20.0,0.03,0.20
