Year,Yield,Capex,Opex,Project_Lifetime,Base_Price,Price_Growth_Rate,Price_Vol
2025,0,400000,85000,15,20.0,0.03,0.20
2026,0,200000,85000,15,20.0,0.03,0.20
2027,17500,0,85000,15,20.0,0.03,0.20
2028,17500,0,85000,15,20.0,0.03,0.20
2029,17500,0,85000,15,20.0,0.03,0.20
2030,17500,0,85000,15,20.0,0.03,0.20
2031,17500,0,85000,15,20.0,0.03,0.20
2032,17500,0,85000,15,20.0,0.03,0.20
2033,17500,0,85000,15,20.0,0.03,0.20
2034,17500,0,85000,15,20.0,0.03,0.20
2035,17500,0,85000,15,20.0,0.03,0.20
2036,17500,0,85000,15,20.0,0.03,0.20
2037,17500,0,85000,15,20.0,0.03,0.20
2038,17500,0,85000,15,20.0,0.03,0.20
2039,17500,0,85000,15,20.0,0.03,0.20
