Year,Yield,Capex,Opex,Project_Lifetime,Base_Price,Price_Growth_Rate,Price_Vol
2025,0,200000,50000,26,20.0,0.03,0.20
2026,0,150000,50000,26,20.0,0.03,0.20
2027,0,100000,50000,26,20.0,0.03,0.20
2028,0,50000,50000,26,20.0,0.03,0.20
2029,5000,0,50000,26,20.0,0.03,0.20
2030,7500,0,50000,26,20.0,0.03,0.20
2031,10000,0,50000,26,20.0,0.03,0.20
2032,10000,0,50000,26,20.0,0.03,0.20
2033,10000,0,50000,26,20.0,0.03,0.20
2034,10000,0,50000,26,20.0,0.03,0.20
2035,10000,0,50000,26,20.0,0.03,0.20
2036,10000,0,50000,26,20.0,0.03,0.20
2037,10000,0,50000,26,20.0,0.03,0.20
2038,10000,0,50000,26,20.0,0.03,0.20
2039,10000,0,50000,26,20.0,0.03,0.20
2040,10000,0,50000,26,20.0,0.03,0.20
2041,10000,0,50000,26,20.0,0.03,0.20
2042,10000,0,50000,26,20.0,0.03,0.20
2043,10000,0,50000,26,20.0,0.03,0.20
2044,10000,0,50000,26,20.0,0.03,0.20
2045,10000,0,50000,26,20.0,0.03,0.20
2046,10000,0,50000,26,20.0,0.03,0.20
2047,10000,0,50000,26,20.0,0.03,0.20
2048,10000,0,50000,26,20.0,0.03,0.20
2049,10000,0,50000,26,20.0,0.03,0.20
2050,10000,0,50000,26,20.0,0.03,0.20
