Year,Yield,Capex,Opex,Project_Lifetime,Base_Price,Price_Growth_Rate,Price_Vol
2025,0,600000,120000,19,0.10,0.02,0.12
2026,0,400000,120000,19,0.10,0.02,0.12
2027,0,200000,120000,19,0.10,0.02,0.12
2028,5500000,0,120000,19,0.10,0.02,0.12
2029,5500000,0,120000,19,0.10,0.02,0.12
2030,5500000,0,120000,19,0.10,0.02,0.12
2031,5500000,0,120000,19,0.10,0.02,0.12
2032,5500000,0,120000,19,0.10,0.02,0.12
2033,5500000,0,120000,19,0.10,0.02,0.12
2034,5500000,0,120000,19,0.10,0.02,0.12
2035,5500000,0,120000,19,0.10,0.02,0.12
2036,5500000,0,120000,19,0.10,0.02,0.12
2037,5500000,0,120000,19,0.10,0.02,0.12
2038,5500000,0,120000,19,0.10,0.02,0.12
2039,5500000,0,120000,19,0.10,0.02,0.12
2040,5500000,0,120000,19,0.10,0.02,0.12
2041,5500000,0,120000,19,0.10,0.02,0.12
2042,5500000,0,120000,19,0.10,0.02,0.12
2043,5500000,0,120000,19,0.10,0.02,0.12
