Year,Yield,Capex,Opex,Project_Lifetime,Base_Price,Price_Growth_Rate,Price_Vol
2025,0,450000,100000,16,0.10,0.02,0.12
2026,0,300000,100000,16,0.10,0.02,0.12
2027,4000000,0,100000,16,0.10,0.02,0.12
2028,4000000,0,100000,16,0.10,0.02,0.12
2029,4000000,0,100000,16,0.10,0.02,0.12
2030,4000000,0,100000,16,0.10,0.02,0.12
2031,4000000,0,100000,16,0.10,0.02,0.12
2032,4000000,0,100000,16,0.10,0.02,0.12
2033,4000000,0,100000,16,0.10,0.02,0.12
2034,4000000,0,100000,16,0.10,0.02,0.12
2035,4000000,0,100000,16,0.10,0.02,0.12
2036,4000000,0,100000,16,0.10,0.02,0.12
2037,4000000,0,100000,16,0.10,0.02,0.12
2038,4000000,0,100000,16,0.10,0.02,0.12
2039,4000000,0,100000,16,0.10,0.02,0.12
2040,4000000,0,100000,16,0.10,0.02,0.12
