year,yield,capex,opex,revenue_type,base_price,price_growth_rate,price_vol
2025,0,2700000,100000,carbon,18.0,0.03,0.18
2026,70000,0,250000,carbon,18.0,0.03,0.18
2027,80000,0,250000,carbon,18.0,0.03,0.18
2028,90000,0,250000,carbon,18.0,0.03,0.18
2029,95000,0,250000,carbon,18.0,0.03,0.18
2030,100000,0,250000,carbon,18.0,0.03,0.18
2031,100000,0,250000,carbon,18.0,0.03,0.18
2032,100000,0,250000,carbon,18.0,0.03,0.18
2033,100000,0,250000,carbon,18.0,0.03,0.18
2034,100000,0,250000,carbon,18.0,0.03,0.18
2035,100000,0,250000,carbon,18.0,0.03,0.18
2036,100000,0,250000,carbon,18.0,0.03,0.18
2037,100000,0,250000,carbon,18.0,0.03,0.18
2038,100000,0,250000,carbon,18.0,0.03,0.18
2039,100000,0,250000,carbon,18.0,0.03,0.18
2040,100000,0,250000,carbon,18.0,0.03,0.18
