year,yield,capex,opex,revenue_type,base_price,price_growth_rate,price_vol
2025,0,2200000,80000,carbon,18.0,0.02,0.18
2026,15626,0,200000,carbon,18.0,0.02,0.18
2027,19099,0,200000,carbon,18.0,0.02,0.18
2028,22572,0,200000,carbon,18.0,0.02,0.18
2029,24308,0,200000,carbon,18.0,0.02,0.18
2030,24308,0,200000,carbon,18.0,0.02,0.18
2031,24308,0,200000,carbon,18.0,0.02,0.18
2032,24308,0,200000,carbon,18.0,0.02,0.18
2033,24308,0,200000,carbon,18.0,0.02,0.18
2034,24308,0,200000,carbon,18.0,0.02,0.18
2035,24308,0,200000,carbon,18.0,0.02,0.18
2036,24308,0,200000,carbon,18.0,0.02,0.18
2037,24308,0,200000,carbon,18.0,0.02,0.18
2038,24308,0,200000,carbon,18.0,0.02,0.18
2039,24308,0,200000,carbon,18.0,0.02,0.18
2040,24308,0,200000,carbon,18.0,0.02,0.18
