year,yield,capex,opex,revenue_type,base_price,price_growth_rate,price_vol
2025,0,1242000,29400,carbon,26.0,0.03,0.315
2026,0,966000,29400,carbon,26.0,0.03,0.315
2027,0,552000,29400,carbon,26.0,0.03,0.315
2028,2340,0,84000,carbon,26.0,0.03,0.315
2029,4234,0,84000,carbon,26.0,0.03,0.315
2030,6129,0,84000,carbon,26.0,0.03,0.315
2031,8023,0,84000,carbon,26.0,0.03,0.315
2032,9917,0,84000,carbon,26.0,0.03,0.315
2033,11811,0,84000,carbon,26.0,0.03,0.315
2034,13706,0,84000,carbon,26.0,0.03,0.315
2035,15600,0,84000,carbon,26.0,0.03,0.315
2036,15600,0,84000,carbon,26.0,0.03,0.315
2037,15600,0,84000,carbon,26.0,0.03,0.315
2038,15600,0,84000,carbon,26.0,0.03,0.315
2039,15600,0,84000,carbon,26.0,0.03,0.315
2040,15600,0,84000,carbon,26.0,0.03,0.315
2041,15600,0,84000,carbon,26.0,0.03,0.315
