year,yield,capex,opex,revenue_type,base_price,price_growth_rate,price_vol
2025,0,1500000,90000,commodity,2200.0,0.02,0.20
2026,180,0,240000,commodity,2200.0,0.02,0.20
2027,300,0,220000,commodity,2200.0,0.02,0.20
2028,420,0,200000,commodity,2200.0,0.02,0.20
2029,500,0,190000,commodity,2200.0,0.02,0.20
2030,500,0,190000,commodity,2200.0,0.02,0.20
2031,500,0,190000,commodity,2200.0,0.02,0.20
2032,500,0,190000,commodity,2200.0,0.02,0.20
2033,500,0,190000,commodity,2200.0,0.02,0.20
2034,500,0,190000,commodity,2200.0,0.02,0.20
2035,500,0,190000,commodity,2200.0,0.02,0.20
2036,500,0,190000,commodity,2200.0,0.02,0.20
2037,500,0,190000,commodity,2200.0,0.02,0.20
2038,500,0,190000,commodity,2200.0,0.02,0.20
2039,500,0,190000,commodity,2200.0,0.02,0.20
2040,500,0,190000,commodity,2200.0,0.02,0.20
