year,yield,capex,opex,revenue_type,base_price,price_growth_rate,price_vol
2025,0,1750000,120000,commodity,2200.0,0.02,0.18
2026,101,0,320000,commodity,2200.0,0.02,0.18
2027,151,0,300000,commodity,2200.0,0.02,0.18
2028,201,0,280000,commodity,2200.0,0.02,0.18
2029,235,0,260000,commodity,2200.0,0.02,0.18
2030,235,0,260000,commodity,2200.0,0.02,0.18
2031,235,0,260000,commodity,2200.0,0.02,0.18
2032,235,0,260000,commodity,2200.0,0.02,0.18
2033,235,0,260000,commodity,2200.0,0.02,0.18
2034,235,0,260000,commodity,2200.0,0.02,0.18
2035,235,0,260000,commodity,2200.0,0.02,0.18
2036,235,0,260000,commodity,2200.0,0.02,0.18
2037,235,0,260000,commodity,2200.0,0.02,0.18
2038,235,0,260000,commodity,2200.0,0.02,0.18
2039,235,0,260000,commodity,2200.0,0.02,0.18
2040,235,0,260000,commodity,2200.0,0.02,0.18
