year,yield,capex,opex,revenue_type,base_price,price_growth_rate,price_vol
2025,0,1750000,140000,commodity,2200.0,0.02,0.26
2026,0,870000,140000,commodity,2200.0,0.02,0.26
2027,103,0,480000,commodity,2200.0,0.02,0.26
2028,185,0,420000,commodity,2200.0,0.02,0.26
2029,267,0,380000,commodity,2200.0,0.02,0.26
2030,308,0,350000,commodity,2200.0,0.02,0.26
2031,328,0,350000,commodity,2200.0,0.02,0.26
2032,328,0,350000,commodity,2200.0,0.02,0.26
2033,328,0,350000,commodity,2200.0,0.02,0.26
2034,328,0,350000,commodity,2200.0,0.02,0.26
2035,328,0,350000,commodity,2200.0,0.02,0.26
2036,328,0,350000,commodity,2200.0,0.02,0.26
2037,328,0,350000,commodity,2200.0,0.02,0.26
2038,328,0,350000,commodity,2200.0,0.02,0.26
2039,328,0,350000,commodity,2200.0,0.02,0.26
2040,328,0,350000,commodity,2200.0,0.02,0.26
