year,yield,capex,opex,revenue_type,base_price,price_growth_rate,price_vol
2025,0,4500000,100000,commodity,130.0,0.04,0.28
2026,8000,0,900000,commodity,130.0,0.04,0.28
2027,12000,0,900000,commodity,130.0,0.04,0.28
2028,15000,0,900000,commodity,130.0,0.04,0.28
2029,18000,0,900000,commodity,130.0,0.04,0.28
2030,20000,0,900000,commodity,130.0,0.04,0.28
2031,22000,0,900000,commodity,130.0,0.04,0.28
2032,24000,0,900000,commodity,130.0,0.04,0.28
2033,25000,0,900000,commodity,130.0,0.04,0.28
2034,25000,0,900000,commodity,130.0,0.04,0.28
2035,25000,0,900000,commodity,130.0,0.04,0.28
2036,25000,0,900000,commodity,130.0,0.04,0.28
2037,25000,0,900000,commodity,130.0,0.04,0.28
2038,25000,0,900000,commodity,130.0,0.04,0.28
2039,25000,0,900000,commodity,130.0,0.04,0.28
2040,25000,0,900000,commodity,130.0,0.04,0.28
