year,yield,capex,opex,revenue_type,base_price,price_growth_rate,price_vol
2025,0,2650000,180000,carbon,10.0,0.05,0.28
2026,0,1330000,180000,carbon,10.0,0.05,0.28
2027,120000,0,550000,carbon,10.0,0.05,0.28
2028,160000,0,550000,carbon,10.0,0.05,0.28
2029,190000,0,550000,carbon,10.0,0.05,0.28
2030,200000,0,550000,carbon,10.0,0.05,0.28
2031,200000,0,550000,carbon,10.0,0.05,0.28
2032,200000,0,550000,carbon,10.0,0.05,0.28
2033,200000,0,550000,carbon,10.0,0.05,0.28
2034,200000,0,550000,carbon,10.0,0.05,0.28
2035,200000,0,550000,carbon,10.0,0.05,0.28
2036,200000,0,550000,carbon,10.0,0.05,0.28
2037,200000,0,550000,carbon,10.0,0.05,0.28
2038,200000,0,550000,carbon,10.0,0.05,0.28
2039,200000,0,550000,carbon,10.0,0.05,0.28
2040,200000,0,550000,carbon,10.0,0.05,0.28
